Author,Title,label
,"_Come Gather Around Together_: An Examination Of Radio Listening Groups In Fulbari, Nepal",0
,A Discussion Of Impact Evaluation Results And Recommendations,0
,A Methodology For Evaluating Complex Development Projects: The Case Of An Agricultural Development Project In Guinea,0
,A National Evaluation Of Safe Schools/Healthy Students: Outcomes And Influences,0
,A Spatial Propensity Score Matching Evaluation Of The Social Impacts Of Sugarcane Growing On Municipalities In Brazil,0
,Achieving Equity In Health Through Community-Based Health Insurance: India'S Experience With A Large Cbhi Programme,0
,Achieving Social Change On Gender-Based Violence: A Report On The Impact Evaluation Of Soul City_S Fourth Series,0
,Adoption And Impact Of Hybrid Wheat In India,0
,Adult Education And Development,0
,Africa_S Education Enigma? The Nigerian Story,0
,Agricultural Households And Conflict Displacement: Evidence From A Policy Intervention In Rwanda,0
,Aiding Violence Or Peace? The Impact Of Foreign Aid On The Risk Of Civil Conflict In Sub-Saharan Africa,0
,An Agriculture And Health Inter-Sectorial Research Process To Reduce Hazardous Pesticide Health Impacts Among Smallholder Farmers In The Andes,0
,An Evaluation Of The Impact Of A School Nutrition Programme In Vietnam,0
,An Evaluation Of The Peruvian _Youth Labor Training Program_ - Projoven,0
,An Impact Analysis Of Microfinance In Bosnia And Herzegovina,0
,An Impact Evaluation Of A Citizen / Community Report Card On Performance In Health Care Delivery In Uganda,0
,Anemia In Rural China _ S Elementary Schools: Prevalence And Correlates In Ningxia And Qinghai _ S Poor Counties,0
,"Antiretroviral Therapy Awareness And Risky Sexual Behaviors Evidence From Mozambique, (November",0
,Approach Paper To Gef- Impact Evaluation Document No. 1,0
,Assessing The Impact Of Infrastructure On Firm Productivity In Africa,0
,Assessing The Impact Of Infrastructure Quality On Firm Productivity In Africa Cross-Country Comparisons Based On Investment Climate Surveys From To,0
,Assessing The Impact Of Participation In Women Self-Help Group-Based Microfinance: Non-Experimental Evidences From Rural Households In India,0
,Assessing The Impact Of The National Agricultural Advisory Services ( Naads),0
,Assessing The Potential Of Fair Trade For Poverty Reduction And Conflict Prevention: A Case Study Of Bolivian Coffee Producers,0
,Bagian Dalam Cover Depan,0
,"Baseline Report Impact Evaluation Of The Northern Uganda Social Action Fund Youth Opportunities Project , Uganda Results From The Baseline Individual And Group Surveys,",0
,Baseline Report On The Evaluation Of Familias En Accion,0
,"Behavioral Responses To Changes Accompanying Reform: A Q-Squared Analysis From Than Hoa Province, Vietnam",0
,Between Air Quality And Infant Mortality: An Empirical Study For Mexico,0
,"Breast Feeding Practices In Urban And Rural Health Centres: Impact Of Baby Friendly Hospital Initiative In Ile-Ife, Nigeria",0
,Breast-Feeding Trends And The Breast-Feeding Promotion Programme In The Philippines,0
,"Bringing Electoral Politics To The Doorstep: Who Gains, Who Loses?",0
,Broadening Access To Primary Education: Contract Teacher Programs And Their Impacts On Education Outcomes In Africa- An Econometric Evaluation For The Republic Of Niger,0
