Author,Title,label
"J. Disch, N. Katz, E. S. Y. Pereira, L. De Gouvea Viana, M. O. Andrade and A. Rabello",Factors associated with Schistosoma mansoni infection 5 years after selective treatment in a low endemic area in Brazil,0
"H. Feldmeier, J. D. Kehr and J. Heukelbach",A plant-based repellent protects against Tunga penetrans infestation and sand flea disease,0
"J. F. Friedman, J. D. Kurtis, S. T. McGarvey, A. L. Fraga, A. Silveira, V. Pizziolo, G. Gazzinelli, P. LoVerde and R. Correa-Oliveira",Comparison of self-reported and observed water contact in an S-mansoni endemic village in Brazil,0
"J. F. Friedman, J. D. Kurtis, S. T. McGarvey, A. L. Fraga, A. Silveira, V. Pizziolo, G. Gazzinelli, P. LoVerde and R. Corrêa-Oliveira",Comparison of self-reported and observed water contact in an S. mansoni endemic village in Brazil,0
"B. Hogh, R. Thompson, V. Lobo, M. Dgedge, M. Dziegiel, M. Borre, A. Gottschau, E. Streat, A. Schapira and J. Barreto",The influence of Maloprim chemoprophylaxis on cellular and humoral immune responses to Plasmodium falciparum asexual blood stage antigens in schoolchildren living in a malaria endemic area of Mozambique,0
"P. Jullien, Som_, J. d'Arc, P. Brantus, R. W. Bougma, I. Bamba and D. Kyelem",Efficacy of home-based lymphoedema management in reducing acute attacks in subjects with lymphatic filariasis in Burkina Faso,0
J. M. Kirigia,Economic evaluation in schistosomiasis: using the Delphi technique to assess effectiveness,0
"Y. S. Li, Z. Y. Zhao, M. Ellis and D. P. McManus",Applications and outcomes of periodic epidemiological surveys for schistosomiasis and related economic evaluation in the People's Republic of China,0
"M. Magoni, M. Jaber and R. Piera",Fighting anaemia and malnutrition in Hebron (Palestine): impact evaluation of a humanitarian project,0
H. A. Mwenesi,"Social science research in malaria prevention, management and control in the last two decades: An overview",0
"C. Obua, L. L. Gustafsson, C. Aguttu, W. W. Anokbonggo, J. W. Ogwal-Okeng, J. Chiria and U. Hellgren",Improved efficacy with amodiaquine instead of chloroquine in sulfadoxine/pyrimethamine combination treatment of falciparum malaria in Uganda: experience with fixed-dose formulation,0
"Sch_, J. F. mann, C. Guinot, L. Traore, G. Zefack, M. Dembele, I. Diallo, A. Traore, P. Vinard and D. Malvy","Longitudinal evaluation of three azithromycin distribution strategies for treatment of trachoma in a sub-Saharan African country, Mali",0
"C. N. Wamae, S. M. Njenga, B. M. Ngugi, J. Mbui and H. K. Njaanake",Evaluation of effectiveness of diethylcarbamazine/albendazole combination in reduction of Wuchereria bancrofti infection using multiple infection parameters,0
"F. C. Barros, T. C. Semer, S. Tonioli Filho, E. Tomasi and C. G. Victora","The impact of lactation centres on breastfeeding patterns, morbidity and growth: a birth cohort study",0
"E. Helsing, B. E. Chalmers, T. J. Dinekina and N. I. Kondakova","Breastfeeding, baby friendliness and birth in transition in north western Russia: a study of women's perceptions of the care they receive when giving birth in six maternity homes in the cities of Archangelsk and Murmansk, 1999",0
"E. A. Mitchell, P. B. Didsbury, N. Kruithof, E. Robinson and M. Milmine",A randomized controlled trial of an asthma clinical pathway for children in general practice,0
P. Lustig and D. R. Rai,Action Learning in ActionAid Nepal: A Case Study,0
I. Buskens and S. Earl,Research for change,0
Y.-T. Yap,"Evaluating the Impact of PETI on Child Labor Supply and Schooling Demand in Rural Northeastern Brazil: The Case of Pernambuco, Bahia and Sergipe",0
,USAID in Indonesia_,0
,The USGS/OFDA volcano disaster assistance program_,0
,U.S. aid to Costa Rica : an overview_,0
,Center for Democracy and Governance : user's guide_,0
,GABLE social mobilization campaign : monitoring and assessment_,0
,El Salvador : integrated solid waste management project protects human and ecosystem health_,0
,Food assisted education project profiles - Haiti_,0
,The plan of action for the development of guidelines for regional environmental impact assessment of shared ecosystems of East Africa : project summary_,0
,Project -- strengthening education programs for orphan and vulnerable children (STEP-OVC) -- locations : Burundi - Ngozi province_,0
,"Project : community organized primary education -- locations : Afghanistan (310 community schools) -- Khost, Gardez, Logar, Kabul, Maidan, Ghazni and Paktika provinces_",0
,Project : community-based psychosocial program (phase 2) -- locations : Kosovo (27 centers for social welfare and 8 municipalities)_,0
,Project : education assistance to refugees from Burma -- locations : Thailand and Burma border_,0
,Project : education renewal project -- locations : Sierra Leone (Moyamba District and rural western areas of Freetown)_,0
